Country,Balance Authority,Emissions Data Source,Last Updated
Spain,,WattTime,7/31/2024
Sri Lanka,,UNFCCC,7/31/2024
Sudan,,UNFCCC,7/31/2024
Suriname,,UNFCCC,7/31/2024
Sweden,,WattTime,7/31/2024
Switzerland,,UNFCCC,7/31/2024
Syrian Arab Republic,,UNFCCC,7/31/2024
Taiwan (Chinese Taipei),,UNFCCC,7/31/2024
Tajikistan,,UNFCCC,7/31/2024
"Tanzania, United Republic of",,UNFCCC,7/31/2024
Thailand,,UNFCCC,7/31/2024
Timor-Leste,,UNFCCC,7/31/2024
Togo,,UNFCCC,7/31/2024
Tonga,,UNFCCC,7/31/2024
Trinidad and Tobago,,UNFCCC,7/31/2024
Tunisia,,UNFCCC,7/31/2024
Turkey,,WattTime,7/31/2024
Turkmenistan,,UNFCCC,7/31/2024
Turks and Caicos Islands (U.K.),,UNFCCC,7/31/2024
Tuvalu,,UNFCCC,7/31/2024
Uganda,,UNFCCC,7/31/2024
Ukraine,,UNFCCC,7/31/2024
United Arab Emirates,,UNFCCC,7/31/2024
United Kingdom,,WattTime,7/31/2024
Uruguay,,UNFCCC,7/31/2024
USA,ERCOT,REsurety,7/31/2024
USA,MISO,REsurety,7/31/2024
USA,WECC,WattTime,7/31/2024
USA,SERC,WattTime,7/31/2024
USA,NYISO,REsurety,7/31/2024
USA,ISONE,REsurety,7/31/2024
USA,PJM,REsurety,7/31/2024
USA,SPP,REsurety,7/31/2024
USA,CAISO,REsurety,7/31/2024
Uzbekistan,,UNFCCC,7/31/2024
Vanatu,,UNFCCC,7/31/2024
"Venezuela, Bolivarian Republic of",,UNFCCC,7/31/2024
Viet Nam,,UNFCCC,7/31/2024
Virgin Islands (U.S.),,UNFCCC,7/31/2024
Yemen,,UNFCCC,7/31/2024
Zambia,,UNFCCC,7/31/2024
Zimbabwe,,UNFCCC,7/31/2024
