Region,Data Provider,Model Type,Time Resolution,Location Resolution,Last Updated
Oman,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Pakistan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Palau,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Palestinian Authority,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Panama,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Papua New Guinea,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Paraguay,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Peru,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Puerto Rico (U.S.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Qatar,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Reunion (France),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Russian Federation,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Rwanda,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Saint Helena (U.K.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Saint Kitts and Nevis,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Saint Lucia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Saint Martin (France),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Saint Pierre and Miquelon (France),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Saint Vincent and Grenadines,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Samoa,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
San Marino,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Sao Tomé & Principe,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Saudi Arabia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Senegal,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Serbia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Seychelles,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Sierra Leone,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Singapore,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Sint Martin (Netherlands),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Slovak Republic,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Slovenia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Solomon Islands,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Somalia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
South Africa,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
South Sudan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Sri Lanka,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Sudan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Suriname,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Switzerland,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Syrian Arab Republic,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Taiwan (Chinese Taipei),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Tajikistan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
"Tanzania, United Republic of",UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Thailand,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Timor-Leste,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Togo,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Tonga,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Trinidad and Tobago,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Tunisia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Turkmenistan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Turks and Caicos Islands (U.K.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Tuvalu,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Uganda,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Ukraine,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
United Arab Emirates,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Uruguay,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Uzbekistan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Vanatu,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
"Venezuela, Bolivarian Republic of",UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Viet Nam,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Virgin Islands (U.S.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Yemen,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Zambia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Zimbabwe,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Australia - Tasmania,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Australia - Victoria,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Australia - New South Wales,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Australia - Queensland,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Australia - South,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Australia - West,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Belgium,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Brazil,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Canada - AESO,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Canada - IESO,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Canada - EPE,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Canada - BCHYDRO,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Canada - HYDRO QUEBEC,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Chile,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Finland,WattTime,Statistical,Hourly,Zonal,31-Jul-24
France,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Germany,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Greece,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Hungary,WattTime,Statistical,Hourly,Zonal,31-Jul-24
India,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Ireland,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Italy,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Japan,WattTime,Statistical,Hourly,Zonal,31-Jul-24
"Korea (South), Republic of",WattTime,Statistical,Hourly,Zonal,31-Jul-24
Malaysia,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Mexico - SIN,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Netherlands,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Nicaragua,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Norway,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Philippines,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Poland,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Portugal,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Romania,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Spain,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Sweden,WattTime,Statistical,Hourly,Zonal,31-Jul-24
Turkey,WattTime,Statistical,Hourly,Zonal,31-Jul-24
United Kingdom,WattTime,Statistical,Hourly,Zonal,31-Jul-24
USA - WECC,WattTime,Statistical,Hourly,Zonal,31-Jul-24
USA - SERC,WattTime,Statistical,Hourly,Zonal,31-Jul-24
